audit_id,sample_group,signal_id,title,summary,source_type,platform,published_at,url,score,relevance,relevance_level,matched_pillars,matched_topics,rule_flags,keywords,topics,human_label,centrality,domain_fit,human_notes
audit_001,relevant,sig_0b9314d61154,"OpenAI, Grupo Folha and Grupo UOL announce strategic content partnership","OpenAI partners with Grupo Folha and Grupo UOL to bring trusted Brazilian journalism to ChatGPT, expanding access to news with attribution and transparency.",rss,rss,"Mon, 25 May 2026 00:00:00 GMT",https://openai.com/index/grupo-folha-grupo-uol-partnership,54.5,True,borderline,AI,AI,no_brand_promise_match | generic_ai_evidence,ChatGPT | OpenAI,AI | generative AI | AI applications,,,,
audit_002,relevant,sig_da2c46ff583c,OpenAI named Emerging Leader in Generative AI,"OpenAI has been named an Emerging Leader in Gartner’s 2025 Innovation Guide for Generative AI Model Providers. The recognition reflects our enterprise momentum, with over 1 million companies building with ChatGPT.",rss,rss,"Mon, 17 Nov 2025 10:00:00 GMT",https://openai.com/index/gartner-2025-emerging-leader,54.5,True,borderline,AI,AI,no_brand_promise_match | generic_ai_evidence,AI | generative AI | ChatGPT | OpenAI,AI | generative AI | AI applications,,,,
audit_003,relevant,sig_430518e1b547,Improvements to data analysis in ChatGPT,"Improvements to data analysis in ChatGPT
Interact with tables and charts and add files directly from Google Drive and Microsoft OneDrive.",rss,rss,"Thu, 16 May 2024 15:00:00 GMT",https://openai.com/index/improvements-to-data-analysis-in-chatgpt,54.5,True,borderline,AI,AI,no_brand_promise_match | generic_ai_evidence,ChatGPT | Google | Microsoft,AI | generative AI | AI applications,,,,
audit_004,relevant,sig_eca1fd721ad1,Catching halibut with ChatGPT,Using ChatGPT to catch halibut,rss,rss,"Tue, 04 Feb 2025 00:00:00 GMT",https://openai.com/index/fishing-for-first-timers,54.5,True,borderline,AI,AI,no_brand_promise_match | generic_ai_evidence,ChatGPT,AI | generative AI | AI applications,,,,
audit_005,relevant,sig_178135ef7185,OpenAI and Greek Government launch ‘OpenAI for Greece’,"OpenAI and the Greek Government have launched “OpenAI for Greece” to bring ChatGPT Edu into secondary schools and support responsible AI learning. This partnership aims to boost AI literacy, fuel local start-ups, and drive national economic growth.",rss,rss,"Fri, 05 Sep 2025 08:00:00 GMT",https://openai.com/global-affairs/openai-for-greece,60.5,True,borderline,AI,AI,no_brand_promise_match | generic_ai_evidence,AI | ChatGPT | OpenAI,AI | generative AI | AI applications,,,,
audit_006,relevant,sig_09f1dd20dbbe,The new ChatGPT Images is here,"The new ChatGPT Images is powered by our flagship image generation model, delivering more precise edits, consistent details, and image generation up to 4× faster. The upgraded model is rolling out to all ChatGPT users today and is also available in the API as GPT-Image-1.5.",rss,rss,"Tue, 16 Dec 2025 00:00:00 GMT",https://openai.com/index/new-chatgpt-images-is-here,57.5,True,borderline,AI,AI,no_brand_promise_match | generic_ai_evidence,ChatGPT | GPT | API,AI | generative AI | AI applications,,,,
audit_007,relevant,sig_6af33cb15824,Introducing GPT-5.5,"This post introduced GPT-5.5, a model built for complex tasks like coding, research, and data analysis across tools.",rss,rss,"Thu, 23 Apr 2026 11:00:00 GMT",https://openai.com/index/introducing-gpt-5-5,60.5,True,borderline,AI,AI,no_brand_promise_match | generic_ai_evidence,GPT | GPT-5 | coding,AI | generative AI,,,,
audit_008,relevant,sig_88f1c6debd1c,How AI is giving Northern Ireland teachers time back,A six-month long pilot program with the Northern Ireland Education Authority’s C2k initiative found that integrating Gemini and other generative AI tools saved participating teachers an average of 10 hours per week.,rss,rss,"Mon, 10 Nov 2025 16:50:39 +0000",https://deepmind.google/blog/how-ai-is-giving-northern-ireland-teachers-time-back/,54.5,True,borderline,AI,AI,no_brand_promise_match | generic_ai_evidence,AI | generative AI | Gemini,AI | generative AI,,,,
audit_009,relevant,sig_16c0785af4c8,Introducing OpenAI Japan,We are excited to announce our first office in Asia and we’re releasing a GPT-4 custom model optimized for the Japanese language.,rss,rss,"Sun, 14 Apr 2024 00:00:00 GMT",https://openai.com/index/introducing-openai-japan,54.5,True,borderline,AI,AI,no_brand_promise_match | generic_ai_evidence,GPT | OpenAI,AI | generative AI,,,,
audit_010,relevant,sig_4c7df06a92f3,Introducing the Codex app,"Introducing the Codex app for macOS—a command center for AI coding and software development with multiple agents, parallel workflows, and long-running tasks.",rss,rss,"Mon, 02 Feb 2026 00:00:00 GMT",https://openai.com/index/introducing-the-codex-app,72.5,True,relevant,AI,AI | software,no_brand_promise_match,AI | Codex | AI coding | agents | software | coding | workflows,AI | AI coding | software | developer tools,,,,
audit_011,relevant,sig_b64e1ce172d4,Making ChatGPT better for clinicians,"OpenAI makes ChatGPT for Clinicians free for verified U.S. physicians, nurse practitioners, and pharmacists, supporting clinical care, documentation, and research.",rss,rss,"Wed, 22 Apr 2026 15:00:00 GMT",https://openai.com/index/making-chatgpt-better-for-clinicians,57.5,True,borderline,AI,AI,no_brand_promise_match | generic_ai_evidence,ChatGPT | OpenAI,AI | generative AI | AI applications,,,,
